date,official_outlet_m3s,official_et_mm,official_surq_gen_mm,official_perc_mm,official_latq_mm,official_snopack_mm,official_soil_layer2_C,existing_ft_outlet_m3s,existing_ft_et_mm,existing_ft_surq_gen_mm,existing_ft_perc_mm,existing_ft_latq_mm,existing_ft_snopack_mm,existing_ft_soil_layer2_C,shaw_outlet_m3s,shaw_et_mm,shaw_surq_gen_mm,shaw_perc_mm,shaw_latq_mm,shaw_snopack_mm,shaw_soil_layer2_C
2021-03-03,3.708e-06,0.0,0.007,0.0,0.0,79.982,-7.279,0.002751,0.0,0.0,0.088,0.081,79.982,0.191,0.003929,0.101,0.0,0.159,0.0,111.017,0.398
2021-03-04,3.161e-07,0.426,0.001,0.0,0.0,80.619,-7.328,0.002784,0.426,0.0,0.088,0.087,80.619,0.177,0.004058,0.181,0.0,0.165,0.0,111.603,0.446
2021-03-05,1.605e-07,0.475,0.0,0.0,0.0,80.619,-7.65,0.002776,0.475,0.0,0.067,0.073,80.619,-0.056,0.004194,0.122,0.0,0.17,0.0,111.54,0.469
2021-03-06,8.149e-08,0.139,0.0,0.0,0.0,80.619,-7.777,0.002807,0.139,0.0,0.087,0.081,80.619,0.004,0.004337,0.006,0.0,0.177,0.0,111.527,0.483
2021-03-07,4.138e-08,0.293,0.0,0.0,0.0,80.619,-7.992,0.002827,0.293,0.0,0.079,0.078,80.619,0.0,0.004487,0.097,0.0,0.184,0.0,111.526,0.493
2021-03-08,2.102e-08,0.362,0.0,0.0,0.0,80.619,-8.14,0.002857,0.362,0.0,0.087,0.084,80.619,0.129,0.004647,0.097,0.0,0.193,0.0,111.481,0.503
2021-03-09,3.757e-06,0.0,0.0,0.0,0.0,81.348,-7.429,0.00289,0.0,0.0,0.087,0.089,81.348,0.644,0.004822,0.085,0.0,0.202,0.0,112.102,0.688
2021-03-10,9.158e-05,0.0,22.449,0.0,0.0,69.141,-6.707,0.002997,0.0,17.875,0.094,0.099,69.141,1.061,0.005003,-0.314,0.508,0.213,0.0,107.8,0.713
2021-03-11,0.0002052,0.007,50.09,0.051,0.002,30.441,-5.171,0.003177,0.007,51.482,0.093,0.105,30.441,3.83,0.005203,-0.75,1.098,0.225,0.0,89.241,0.7
2021-03-12,3.86e-05,0.329,8.911,0.051,0.003,2.339,-4.688,0.003072,0.339,15.794,0.095,0.112,2.339,1.56,0.005419,0.267,0.123,0.238,0.0,69.965,0.736
2021-03-13,8.444e-06,0.291,0.679,0.051,0.005,0.008,-4.665,0.002992,0.302,3.585,0.059,0.087,0.008,-2.453,0.005988,0.326,0.0,0.58,0.0,62.728,0.753
2021-03-14,5.73e-06,0.004,0.071,0.051,0.005,0.302,-4.941,0.002931,0.004,0.284,0.051,0.066,0.302,-3.868,0.01434,0.185,0.0,4.473,0.0,61.301,0.675
2021-03-15,2.131e-06,0.043,0.008,0.0,0.004,0.588,-5.788,0.002882,0.043,0.03,0.051,0.05,0.588,-6.849,0.02476,0.187,0.0,5.57,0.0,61.444,0.551
2021-03-16,1.086e-06,0.614,0.001,0.0,0.003,0.588,-6.127,0.002838,0.614,0.003,0.051,0.039,0.588,-3.745,0.03217,0.338,0.0,4.331,0.0,61.318,0.52
